ticker,dollar_adv_hist,price_warmup_med,volume_warmup_avg,adv_window,adv_asof
AMN,46041286.99531555,66.72999954223633,787356.6666666666,30.0,2020-04-13
AMP,150769462.4305725,103.54000091552734,1416353.3333333333,30.0,2020-04-13
AMPH,4152451.462268829,14.775000095367432,317080.0,30.0,2020-04-13
AMRC,4330162.474393845,17.039999961853027,289750.0,30.0,2020-04-13
AMRN,123307718.1739998,230.3000030517578,1067229.8333333333,30.0,2020-04-13
AMSC,1440372.0077991486,5.619999885559082,262940.0,30.0,2020-04-13
AMSF,7682718.923187256,63.209999084472656,135876.66666666666,30.0,2020-04-13
AMT,764246069.0887451,227.6500015258789,3424406.6666666665,30.0,2020-04-13
AMWD,8546141.814994812,49.935001373291016,161490.0,30.0,2020-04-13
AMZN,12192117803.329468,95.35725021362305,134736400.0,30.0,2020-04-13
AN,36092400.19750595,30.625,1265116.6666666667,30.0,2020-04-13
ANAB,9513574.919891356,14.135000228881836,671140.0,30.0,2020-04-13
ANDE,4348457.832527161,17.760000228881836,262386.6666666667,30.0,2020-04-13
ANET,186129627.96783447,12.016250133514404,17652213.333333332,30.0,2020-04-13
ANF,31862675.9267807,9.954999923706056,3593503.333333333,30.0,2020-04-13
ANGI,12673350.0,50.60000038146973,248957.0,30.0,2020-04-13
ANGO,3674446.008491516,9.920000076293944,379793.3333333333,30.0,2020-04-13
ANIK,6238916.527938843,29.21500015258789,215170.0,30.0,2020-04-13
ANIP,4574277.055740356,40.60999870300293,120243.33333333331,30.0,2020-04-13
AON,385684032.4562073,172.08999633789062,2547923.333333333,30.0,2020-04-13
AORT,6756736.117744446,18.68000030517578,384130.0,30.0,2020-04-13
AOS,104434785.98632812,38.64999961853027,2924370.0,30.0,2020-04-13
AOSL,1192862.9951000214,7.424999952316284,155260.0,30.0,2020-04-13
APA,146676773.70786667,5.879999876022339,24733623.33333333,30.0,2020-04-13
APAM,14130329.913139343,21.55500030517578,717450.0,30.0,2020-04-13
APD,382066192.3797608,201.8000030517578,1851290.0,30.0,2020-04-13
APEI,2547405.494213104,22.520000457763672,124103.33333333331,30.0,2020-04-13
APH,203341666.0484314,18.88124942779541,10657493.333333334,30.0,2020-04-13
APLE,43948857.00962544,8.720000267028809,5256223.333333333,30.0,2020-04-13
APLS,28970940.25478363,27.05500030517578,1074780.0,30.0,2020-04-13
APO,129900209.98649596,34.88500022888184,3839416.6666666665,30.0,2020-04-13
APOG,7333554.089164734,19.33999919891357,387870.0,30.0,2020-04-13
APPF,19189897.09587097,100.9375,213013.3333333333,30.0,2020-04-13
APPN,43930828.46050263,37.44499969482422,1190046.6666666667,30.0,2020-04-13
APRE,3050937.974090576,682.2999877929688,4619.5,30.0,2020-04-13
APT,69404851.24497414,12.339999675750732,7165393.333333333,30.0,2020-04-13
APTV,180300603.13453677,52.38999938964844,3126700.0,30.0,2020-04-13
AQN,16332494.34890747,13.005000114440918,1265880.0,30.0,2020-04-13
ARCB,5271958.606624603,19.335000038146973,300350.0,30.0,2020-04-13
ARCC,89226824.50647354,11.75,7443186.666666667,30.0,2020-04-13
ARCT,2744590.409231186,13.664999961853027,266746.6666666667,30.0,2020-04-13
ARDX,4671335.948991776,5.755000114440918,856443.3333333334,30.0,2020-04-13
ARE,166766227.2857666,140.03500366210938,1282306.6666666667,30.0,2020-04-13
ARES,34592403.95679474,30.600000381469727,1251243.3333333333,30.0,2020-04-13
ARI,29190814.05630112,8.690000057220459,3792030.0,30.0,2020-04-13
ARMK,110243425.2305603,15.24909734725952,8652519.933333334,30.0,2020-04-13
AROW,1202729.5018196106,26.48543643951416,48670.93333333333,30.0,2020-04-13
ARQ,1341537.999343872,6.695000171661377,204886.66666666663,30.0,2020-04-13
ARQT,3076947.932815552,27.674999237060547,173320.0,30.0,2020-04-13
ARR,21679044.473876957,46.67499923706055,408716.6666666667,30.0,2020-04-13
ARTNA,1154663.9981269836,35.40500068664551,32206.666666666668,30.0,2020-04-13
ARVN,14663696.55303955,41.11499977111816,370543.3333333333,30.0,2020-04-13
ARW,44613677.699661255,53.920000076293945,825056.6666666666,30.0,2020-04-13
ARWR,49794194.90146637,28.855000495910645,1778113.3333333333,30.0,2020-04-13
ASA,1572133.507490158,11.135000228881836,168260.0,30.0,2020-04-13
ASB,24642297.265958782,13.0,2032426.6666666667,30.0,2020-04-13
ASGN,21892463.703918457,35.209999084472656,610546.6666666666,30.0,2020-04-13
ASH,34486717.88597107,51.34000015258789,737020.0,30.0,2020-04-13
ASIX,4146056.929540634,11.460000038146973,406533.3333333333,30.0,2020-04-13
ASMB,3839140.5494918814,182.33999633789065,24898.3,30.0,2020-04-13
ASML,337085778.0456543,262.99000549316406,1405230.0,30.0,2020-04-13
ASPS,1221894.0274715424,63.59999847412109,22130.166666666668,30.0,2020-04-13
ASR,9614680.1486969,98.84000015258788,92066.66666666669,30.0,2020-04-13
